host_id,bairro_group,price,minimo_noites,numero_de_reviews,latitude,longitude,reviews_por_mes,disponibilidade_365,Entire home/apt,Private room,Shared room
2845,Manhattan,225.0,1,45,40.75362,-73.98377,0.38,355,1,0,0
4632,Manhattan,150.0,3,0,40.80902,-73.9419,,365,0,1,0
4869,Brooklyn,89.0,1,270,40.68514,-73.95976,4.64,194,1,0,0
7192,Manhattan,80.0,10,9,40.79851,-73.94399,0.1,0,1,0,0
7322,Manhattan,200.0,3,74,40.74767,-73.975,0.59,129,1,0,0
7356,Brooklyn,60.0,45,49,40.68688,-73.95596,0.4,0,0,1,0
8967,Manhattan,79.0,2,430,40.76489,-73.98493,3.47,220,0,1,0
7490,Manhattan,79.0,2,118,40.80178,-73.96723,0.99,0,0,1,0
7549,Manhattan,150.0,1,160,40.71344,-73.99037,1.33,188,1,0,0
7702,Manhattan,135.0,5,53,40.80316,-73.96545,0.43,6,1,0,0
7989,Manhattan,85.0,2,188,40.76076,-73.98867,1.5,39,0,1,0
9744,Brooklyn,89.0,4,167,40.66829,-73.98779,1.34,314,0,1,0
11528,Manhattan,85.0,2,113,40.79826,-73.96113,0.91,333,0,1,0
11975,Manhattan,120.0,90,27,40.7353,-74.00525,0.22,0,1,0,0
15991,Brooklyn,140.0,2,148,40.70837,-73.95352,1.2,46,1,0,0
17571,Brooklyn,215.0,2,198,40.69169,-73.97185,1.72,321,1,0,0
18946,Manhattan,140.0,1,260,40.74192,-73.99501,2.12,12,0,1,0
20950,Brooklyn,99.0,3,53,40.67592,-73.94694,4.44,21,1,0,0
17985,Manhattan,190.0,7,0,40.79685,-73.94872,,249,1,0,0
21207,Brooklyn,299.0,3,9,40.71842,-73.95718,0.07,0,1,0,0
22486,Brooklyn,130.0,2,130,40.68069,-73.97706,1.09,347,0,1,0
22486,Brooklyn,80.0,1,39,40.67989,-73.97798,0.37,364,0,1,0
22486,Brooklyn,110.0,2,71,40.68001,-73.97865,0.61,304,0,1,0
25183,Brooklyn,120.0,2,88,40.68371,-73.94028,0.73,233,1,0,0
25326,Brooklyn,60.0,1,19,40.65599,-73.97519,1.37,85,0,1,0
26394,Manhattan,80.0,4,0,40.86754,-73.92639,,0,0,1,0
30193,Manhattan,150.0,10,58,40.76715,-73.98533,0.49,75,1,0,0
31374,Manhattan,44.0,3,108,40.86482,-73.92106,1.11,311,0,1,0
21904,Manhattan,180.0,14,29,40.7292,-73.98542,0.24,67,1,0,0
32294,Manhattan,50.0,3,242,40.82245,-73.95104,2.04,355,0,1,0
32045,Manhattan,52.0,2,88,40.81305,-73.95466,1.42,255,0,1,0
32169,Brooklyn,55.0,4,197,40.72219,-73.93762,1.65,284,0,1,0
32294,Manhattan,50.0,3,273,40.8213,-73.95318,2.37,359,0,1,0
35935,Brooklyn,70.0,1,74,40.6831,-73.95473,0.66,269,0,1,0
9744,Brooklyn,89.0,4,168,40.66869,-73.9878,1.41,340,0,1,0
7355,Brooklyn,35.0,60,0,40.68876,-73.94312,,365,0,1,0
44145,Brooklyn,85.0,2,231,40.70186,-73.92745,1.96,22,1,0,0
45445,Brooklyn,150.0,1,0,40.63702,-73.96327,,365,0,1,0
7549,Manhattan,40.0,1,214,40.71401,-73.98917,1.81,188,0,0,1
46978,Manhattan,68.0,2,245,40.7229,-73.98199,2.08,96,0,1,0
47610,Brooklyn,120.0,3,15,40.66278,-73.97966,0.39,345,1,0,0
47618,Brooklyn,120.0,7,25,40.69673,-73.97584,0.23,311,0,1,0
16800,Manhattan,135.0,4,81,40.79009,-73.97927,0.69,273,0,1,0
47727,Manhattan,150.0,7,97,40.81175,-73.94478,0.84,309,1,0,0
49670,Brooklyn,150.0,29,11,40.65944,-73.96238,0.49,95,1,0,0
50124,Queens,130.0,3,248,40.74771,-73.9474,2.25,215,0,1,0
50148,Brooklyn,110.0,7,61,40.68111,-73.95591,0.52,265,1,0,0
50846,Brooklyn,115.0,3,11,40.68554,-73.9409,0.1,0,1,0,0
52335,Brooklyn,80.0,3,135,40.69142,-73.97376,1.16,192,0,1,0
54275,Brooklyn,80.0,1,112,40.68043,-73.93934,1.01,251,0,1,0
56094,Manhattan,151.0,2,73,40.78635,-73.97008,0.63,302,1,0,0
56104,Brooklyn,228.0,3,82,40.7042,-73.9356,0.7,140,1,0,0
56246,Brooklyn,144.0,2,328,40.73506,-73.95392,2.82,234,1,0,0
56284,Manhattan,200.0,7,19,40.73961,-73.98074,0.22,257,1,0,0
56512,Brooklyn,150.0,30,105,40.70881,-73.9593,0.9,30,1,0,0
59023,Manhattan,110.0,5,19,40.72004,-73.99104,0.17,301,0,1,0
59734,Manhattan,69.0,2,289,40.75531,-73.99293,2.49,294,0,1,0
32169,Brooklyn,49.0,4,138,40.72401,-73.93788,1.19,320,0,1,0
60049,Manhattan,180.0,30,21,40.7221,-73.99775,0.3,154,1,0,0
60252,Brooklyn,80.0,2,42,40.71185,-73.96204,0.38,263,0,1,0
